date,value,Indicator
2023-09-01,5.33,Interest Rate
2023-10-01,5.33,Interest Rate
2023-11-01,5.33,Interest Rate
2023-12-01,5.33,Interest Rate
2024-01-01,5.33,Interest Rate
2024-02-01,5.33,Interest Rate
2024-03-01,5.33,Interest Rate
2024-04-01,5.33,Interest Rate
2024-05-01,5.33,Interest Rate
2024-06-01,5.33,Interest Rate
2024-07-01,5.33,Interest Rate
2024-08-01,5.33,Interest Rate
2024-09-01,5.13,Interest Rate
2024-10-01,4.83,Interest Rate
2024-11-01,4.64,Interest Rate
2024-12-01,4.48,Interest Rate
2025-01-01,4.33,Interest Rate
2025-02-01,4.33,Interest Rate
2025-03-01,4.33,Interest Rate
2025-04-01,4.33,Interest Rate
2025-05-01,4.33,Interest Rate
2025-06-01,4.33,Interest Rate
2025-07-01,4.33,Interest Rate
2025-08-01,4.33,Interest Rate
2025-09-01,4.22,Interest Rate
2025-10-01,4.09,Interest Rate
2025-11-01,3.88,Interest Rate
2025-12-01,3.72,Interest Rate
2026-01-01,3.64,Interest Rate
2026-02-01,3.64,Interest Rate
2026-03-01,3.64,Interest Rate
2026-04-01,3.64,Interest Rate
2026-05-01,3.63,Interest Rate
2026-06-01,3.63,Interest Rate
2026-07-01,3.63,Interest Rate
2026-08-01,3.63,Interest Rate
